Controller,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
stanley+pid,pid,GDP-S1,0.5,constant,109.5652,197.0042,36.7361,0.0626,0.0843,0.3504,0.3391,400,false,max_travel_time,FAIL,PASS,FAIL
stanley+pid,pid,GDP-S2,2,constant,202.4378,377.3762,59.8717,0.057,1.4929,0.5164,0.0942,250,false,max_travel_time,FAIL,PASS,FAIL
stanley+pid,pid,GDP-S3,3,profile,189.6102,299.0662,56.8042,0.1176,2.4534,1.1985,0.1217,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley+pid,pid,GDP-S3,4,profile,163.5316,279.5834,58.7323,0.1963,2.9908,1.7371,0.2093,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+pid,pid,GDP-S3,5,profile,101.1678,178.8126,62.3053,0.2807,3.5943,2.0456,0.2634,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+pid,pid,GDP-S3,7,profile,176.5769,319.2491,62.413,0.3154,4.1395,2.2487,0.3198,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+pid,pid,GDP-S3-EXT,10,constant,649.7233,1179.1307,56.3404,1.0472,9.4929,14.5694,2.1738,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+lqr,lqr,GDP-S1,0.5,constant,109.4927,196.8664,36.7475,0.0609,0.0775,0.1628,0.1587,400,false,max_travel_time,FAIL,PASS,FAIL
stanley+lqr,lqr,GDP-S2,2,constant,202.6759,377.6646,59.89,0.0583,1.4929,0.5109,0.0914,250,false,max_travel_time,FAIL,PASS,FAIL
stanley+lqr,lqr,GDP-S3,3,profile,189.497,298.8947,56.7932,0.1183,2.4534,1.1985,0.1131,250,false,max_travel_time,FAIL,FAIL,FAIL
stanley+lqr,lqr,GDP-S3,4,profile,164.6503,280.9938,58.8415,0.193,2.9908,1.7371,0.2072,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+lqr,lqr,GDP-S3,5,profile,101.0895,178.7182,62.2973,0.2753,3.6114,2.0456,0.2655,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+lqr,lqr,GDP-S3,7,profile,176.8506,319.5784,62.389,0.3075,4.1263,2.2487,0.3179,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+lqr,lqr,GDP-S3-EXT,10,constant,653.1221,1184.1829,56.5052,0.9978,9.4929,14.5694,2.1941,150,false,max_travel_time,FAIL,FAIL,FAIL
pp+pid,pid,GDP-S1,0.5,constant,8.631,26.6655,50.6271,0.0523,0.0772,0.3469,0.2658,400,false,max_travel_time,FAIL,PASS,FAIL
pp+pid,pid,GDP-S2,2,constant,0.603,2.0203,3.0312,0.0669,1.4929,0.5161,0.0968,174.85,true,goal_reached,FAIL,PASS,FAIL
pp+pid,pid,GDP-S3,3,profile,0.4028,1.5294,6.1047,0.112,2.4534,1.1983,0.1122,250,false,max_travel_time,FAIL,FAIL,FAIL
